,movie,title,genreName,grossNum,adjustedGross,grossUnit,duration,pubDate,pubMonth,pubYear
643,http://www.wikidata.org/entity/Q109905743,The Woman King,action,97250903.0,100810229.43085429,http://www.wikidata.org/entity/Q4917,135.0,2022-09-16T00:00:00Z,9,2022
644,http://www.wikidata.org/entity/Q841274,The Woman in Black,Horror; горор,128955898.0,174275091.2250036,http://www.wikidata.org/entity/Q4917,95.0,2012-02-03T00:00:00Z,2,2012
645,http://www.wikidata.org/entity/Q1129381,The X-Files,action; sci-fi; илмӣ-тахаюллӣ,189176423.0,357080363.44069326,http://www.wikidata.org/entity/Q4917,121.0,1998-06-19T00:00:00Z,6,1998
646,http://www.wikidata.org/entity/Q2044064,The Yakuza,action,1500000.0,8892225.433526011,http://www.wikidata.org/entity/Q4917,107.0,1974-12-21T00:00:00Z,12,1974
647,http://www.wikidata.org/entity/Q483780,Thirst,Horror; горор; sci-fi; илмӣ-тахаюллӣ,13085023.0,18879582.214561056,http://www.wikidata.org/entity/Q4917,133.0,2009-04-30T00:00:00Z,4,2009
648,http://www.wikidata.org/entity/Q607363,This Is the End,fantasy,126041322.0,166075354.51667637,http://www.wikidata.org/entity/Q4917,107.0,2013-06-03T00:00:00Z,6,2013
649,http://www.wikidata.org/entity/Q217020,Thor,fantasy; action; sci-fi; илмӣ-тахаюллӣ,449326618.0,614677998.3045272,http://www.wikidata.org/entity/Q4917,114.0,2011-04-27T00:00:00Z,4,2011
650,http://www.wikidata.org/entity/Q65768604,Thor: Love and Thunder,action; sci-fi; илмӣ-тахаюллӣ,760928081.0,846438230.0429554,http://www.wikidata.org/entity/Q4917,119.0,2021-10-28T00:00:00Z,10,2021
651,http://www.wikidata.org/entity/Q22665878,Thor: Ragnarok,action; sci-fi; илмӣ-тахаюллӣ; fantasy,853977126.0,1073362023.7004812,http://www.wikidata.org/entity/Q4917,130.0,2017-07-28T00:00:00Z,7,2017
652,http://www.wikidata.org/entity/Q1201853,Thor: The Dark World,илмӣ-тахаюллӣ; fantasy; action; sci-fi,644783140.0,849430405.4316494,http://www.wikidata.org/entity/Q4917,112.0,2013-10-31T00:00:00Z,10,2013
653,http://www.wikidata.org/entity/Q94525569,Three Thousand Years of Longing,fantasy,20282422.0,21349293.38465802,http://www.wikidata.org/entity/Q4917,108.0,2022-05-20T00:00:00Z,5,2022
654,http://www.wikidata.org/entity/Q107724,Thunderball,action,141200000.0,1366136641.509434,http://www.wikidata.org/entity/Q4917,130.0,1965-12-09T00:00:00Z,12,1965
