"movie","title","genre","gross","inflationAdjustedGross"
"http://dbpedia.org/resource/20,000_Men_a_Year","20,000 Men a Year",,,0
"http://dbpedia.org/resource/20,000_Men_a_Year","20,000 Men a Year",,,0
"http://dbpedia.org/resource/20,000_Men_a_Year","20,000 Men a Year",,,0
"http://dbpedia.org/resource/20,000_Men_a_Year","20.000 Homens por Ano",,,0
"http://dbpedia.org/resource/20,000_Years_in_Sing_Sing","20.000 Jahre in Sing Sing",,"935000.0",1028500
"http://dbpedia.org/resource/20,000_Years_in_Sing_Sing","20.000 χρόνια στο Σινγκ Σινγκ",,"935000.0",1028500
"http://dbpedia.org/resource/20,000_Years_in_Sing_Sing","20,000 Years in Sing Sing",,"935000.0",1028500
"http://dbpedia.org/resource/20,000_Years_in_Sing_Sing","20.000 años en Sing Sing",,"935000.0",1028500
"http://dbpedia.org/resource/20,000_Years_in_Sing_Sing","20,000 Years in Sing Sing",,"935000.0",1028500
"http://dbpedia.org/resource/20,000_Years_in_Sing_Sing","Vingt Mille Ans sous les verrous",,"935000.0",1028500
"http://dbpedia.org/resource/20,000_Years_in_Sing_Sing","20.000 anni a Sing Sing",,"935000.0",1028500
"http://dbpedia.org/resource/20,000_Years_in_Sing_Sing","20,000 Years in Sing Sing",,"935000.0",1028500
"http://dbpedia.org/resource/20,000_Years_in_Sing_Sing","Sing Sing (film 1932)",,"935000.0",1028500
"http://dbpedia.org/resource/20,000_Years_in_Sing_Sing","20 000 лет в Синг-Синге",,"935000.0",1028500
"http://dbpedia.org/resource/20,000_Years_in_Sing_Sing","20.000 Years in Sing Sing",,"935000.0",1028500
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: ملحمة الفضاء (فيلم)",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: una odissea de l'espai",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: Vesmírná odysea (film)",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: Odyssee im Weltraum",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: Η Οδύσσεια του Διαστήματος",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: A Space Odyssey (film)",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: A Space Odyssey",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: A Space Odyssey (película)",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: A Space Odyssey",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: A Space Odyssey",,"1.46E8",160600000
